SKU;Artículo;UMedida
103729;"CINCEL PLANO SDS MAX 3""X12"" (76.2 mm x 30.48 cm) MILWAUKEE 48-62-4187";Uni
103731;"BROCA PARA MADERA 1/2""X18"" (12.7 mm x 45.72 cm) MILWAUKEE 48135540";Uni
103744;"LLAVE PARA CHORRO 1/2"" (12.7 mm) (CON ROSCA REFORZADA";Uni
103745;DESAGUE PARA TINA SH NS08;JGO
103760;"VALVULA DE CONTROL A LA PARED 1/2""X 1/2"" (12.7 mm x 12.7 mm) 04329 ";Uni
104158;ESCALERA ALUMINIO DE EXTENSION 28' (8.53 m) TIPO I 250 lb /113 kg;Uni
104163;CADENA PARA VENTILADOR CONO DE MADERA NOGAL 77008           ;Uni
104164;CADENA PARA VENTILADOR PERILLA DE MADERA NOGAL 77013        ;Uni
104165;CADENA PARA VENTILADOR PERILLA DE MADERA BLANCA 77014       ;Uni
10425;"NIPLE NEGRO 1/8X1.1/2"" (3.17 mm x 3.81 cm) ";Uni
10441;"NIPLE NEGRO 1/4X2"" (6.35 mm x 5.08 cm) ";Uni
10443;"NIPLE NEGRO 1/4X3"" (6.35 mm x 7.62 cm) ";Uni
10455;"NIPLE NEGRO 3/8X2.1/2"" (9.52 mm x 6.3 cm) ";Uni
10470;"NIPLE NEGRO 1/2X4"" (12.70 mm x 10.16 cm) ";Uni
10471;"NIPLE NEGRO 1/2X5"" (12.70 mm x 12.70 cm) ";Uni
10472;"NIPLE NEGRO 1/2X6"" (12.70 mm x 15.24 cm) ";Uni
10478;"NIPLE NEGRO 1/2X12"" (12.70 mm x 30.48 cm) ";Uni
10480;"NIPLE NEGRO 3/4X2"" (19.05 mm x 5.08 cm) ";Uni
10485;"NIPLE NEGRO 3/4X6"" (19.05 mm x 15.24 cm) ";Uni
10493;"NIPLE NEGRO 1X2"" (25.4 mm x 5.08 cm) ";Uni
10495;"NIPLE NEGRO 1X3"" (25.4 mm x 7.62 cm) ";Uni
103624;EXTENSION ELECTRICA 80' (24.3 m) 16/3AWG VERDE POWER ZONE 4408894;Uni
103626;REFLECTOR LED 5W MR16 LUZ BLANCA SYLVANIA;Uni
10364;"NIPLE GALVANIZADO 2X7"" (50.8 mm x 17.78 cm) ";Uni
103640;"RUEDA NEUMATICA PARA CARRETILLA 16""X4"" (40.6x10.16 cm) WH6601P";Uni
10367;"NIPLE GALVANIZADO 2X10"" (50.8 mm x 25.4 cm) ";Uni
10368;"NIPLE GALVANIZADO 2X11"" (50.8 mm x 27.9 cm) ";Uni
103684;"VENTILADOR DE TECHO 30"" (76.20 cm ) SPRITE MADERA/HAYA HUNTER";Uni
103687;"VENTILADOR DE TECHO 52"" (1.32 m) ASTORIA BLANCO HUNTER ";Uni
103724;CINTURON PARA FUERZA DE CUERO 2010-32 S/M;Uni
10373;"NIPLE GALVANIZADO 2.1/2X3"" ( 63.5 mm x 7.62 cm) ";Uni
10374;"NIPLE GALVANIZADO 2.1/2X4"" (63.5 mm x 10.16 cm) ";Uni
103746;VENTOSA DE HULE PARA DESTAPAR INODOROS;Uni
10376;"NIPLE GALVANIZADO 2.1/2X6"" ( 63.5 mm x 15.24 cm) ";Uni
103761;PROTECTOR DE CUERDA MINI BLIND 6014237 S/2;Uni
10378;"NIPLE GALVANIZADO 2.1/2X8"" (63.5 mm x 20.32 cm) ";Uni
10382;"NIPLE GALVANIZADO 2.1/2X12"" (63.5 mm x 30.48 cm) ";Uni
15369;"TORNILLO GOL PARA LAM CAB RED INOX #12X3/4""(19.05 mm) ";Uni
15373;"TORNILLO GOL PARA LAM CAB RED INOX #8X1.1/2""(38.1 mm) ";Uni
14842;TOMA PARA EXTENSION MACHO 117/KOB56;Uni
14843;TOMA PARA EXTENSION MACHO POLARIZADO 1709;Uni
14844;TOMA PARA EXTENSION HEMBRA EAGLE 226;Uni
14850;TOMA PARA EXTENSION MACHO 1140;Uni
14894;TOMA PARA EXTENSION MACHO 50A EAGLE 80BK;Uni
14909;TOMA PARA EXTENSION MACHO SPRING CAFE SA540B;Uni
14924;TOMA PARA EXTENSION MACHO REVERSIBLE BTICINO 2015G;Uni
14926;TOMA PARA EXTENSION MACHO 50A 80-SP COOPER WIRING;Uni
14971;TORNILLO PARA CHEQUE DE TOPE H-541-AA                       ;Uni
14992;TORNILLO SPAX 4.0X40 mm ;Uni
14993;TORNILLO SPAX 3.5X50 mm ;Uni
14994;TORNILLO SPAX 5.0X60 mm ;Uni
14995;TORNILLO SPAX 6.0X100 mm;Uni
15;"ABRAZADERA PARA MANGUERA ACERO INOX (76.2 mm) 3""";Uni
15000;TORNILLO SPAX 3.5X35 mm ;Uni
15001;TORNILLO SPAX 4.0X25 mm ;Uni
15006;TORNILLO SPAX GRIS CON AGUJERO 4.5X60 mm ;Uni
15374;"TORNILLO GOL PARA LAM CAB RED INOX #10X1.1/2""(38.1 mm) ";Uni
15396;TRAMPA PARA RATA METALICA 31571T                            ;Uni
15397;TRAMPA PARA RATA M201                                       ;Uni
15403;"ARANDELA PLANA INOXIDABLE 3/16"" (4.76 mm) ";Uni
15435;"TUBO INDUSTRIAL RECTANGULAR 1/2X1"" (12.70 x 25.40 mm) CHAPA 20 (0.90 mm)";Uni
15440;"TUBO INDUSTRIAL RECTANGULAR 2X1"" (50.8 x 25.40 mm) CHAPA 20 (0.90 mm)";Uni
15448;"TUBO DE ALUMINIO 1"" (25.40 mm) ANODIZADO NATURAL ";m
15457;"TUBO CONDUIT ALUMINIO 1.1/4"" (31.75 mm) ";Uni
15458;"TUBO CONDUIT ALUMINIO 1.1/2"" (38.1 mm) ";Uni
15459;"TUBO CONDUIT ALUMINIO 2"" (50.8 mm) ";Uni
15475;"TUBO PVC 160 PSI 1"" (25.40 mm x 6 m)";Uni
1548;BASCULA DE RESORTE 25 lb (11.33 kg) ALEMANA ;Uni
15480;"TUBO PVC 160 PSI 3"" (76.2 mm x 6 m)";Uni
15481;"TUBO PVC 160 PSI 4"" (10.16 mm x 6 m)";Uni
15482;"TUBO PVC 315 PSI 1/2"" (12.7 mm X6 m)";Uni
1551;BASCULA DE MOSTRADOR 40 lb (19.95 kg) BM20 ;Uni
15007;TORNILLO SPAX GRIS CON AGUJERO 4.5X70 mm ;Uni
15008;TORNILLO SPAX GRIS CON AGUJERO 4.5X80 mm ;Uni
15410;CONECTOR DE 2 VIAS 323018/32969                             ;Uni
15425;"TUBO INDUSTRIAL CUADRADO 1"" (25.40 mm) CHAPA 20 (0.90 mm)";Uni
15426;"TUBO INDUSTRIAL CUADRADO 1.1/4"" (6.35 mm) CHAPA 20 (0.90 mm)";Uni
15427;"TUBO INDUSTRIAL CUADRADO 1.1/2"" (38.1 mm) CHAPA 20 (0.90 mm)";Uni
15428;"TUBO INDUSTRIAL REDONDO 5/8"" (15.87 mm) CHAPA 20 (0.90 mm)";Uni
15433;"TUBO INDUSTRIAL REDONDO 1.1/2"" (38.1 mm) CHAPA 20 (0.90 mm)";Uni
15434;"TUBO INDUSTRIAL REDONDO (50.8 mm) 2"" CHAPA 20 (0.90 mm)";Uni
15441;"TUBO ESTRUCTURAL CUADRADO GALVA 2"" (50.8 mm) CHAPA 16 (1.50 mm)";Uni
15466;"TUBO ESTRUCTURAL CUADRADO 1"" (25.40 mm) CHAPA 14 (1.80 mm)";Uni
15467;"TUBO ESTRUCTURAL CUADRADO 1.1/4"" (31.75 mm) CHAPA 14 (1.80 mm)";Uni
15471;"TUBO PVC 100 PSI 2"" (50.8 mm x 6 m)";Uni
15472;"TUBO PVC 100 PSI 4"" (101.6 mm x 6 m)";Uni
15473;"TUBO PVC 100 PSI 6"" (152.4 mm x 6 m)";Uni
15518;TUBO FLUORESCENTE 40W SYLVANIA                              ;Uni
15519;TUBO FLUORESCENTE 40W PHILIPS                               ;Uni
15547;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 3/8X1/2X12"" (9.5 x 12.7 mm x 30.48 cm) METAL 48003";Uni
15548;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 1/2X3/8X16"" (12.7 x 9.5 mm x 40.64 cm) METAL";Uni
15549;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 1/2X1/2X20"" (12.7 x 12.7 mm x 50.8 cm)METAL";Uni
15554;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 1/2X3/8X12"" (12.7 x 9.5 mm x 30.48 cm)PLAST 48130";Uni
15555;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 1/2X3/8X16"" (12.7 x 9.5 mm x 40.64 cm) PLAST";Uni
15556;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 1/2X3/8X20"" (12.7 x 9.5 mm x 50.8 cm) PLAST";Uni
15557;"TUBO ABASTO PARA LAVAMANO FLEXIBLE 1/2X3/8X24"" (12.7 x 9.5 mm x 60.96 cm)PLAST 48127";Uni
15562;"MANGO DE MADERA CORTO PARA PALA 19"" (48.2 cm) IMACASA 13020";Uni
15564;VAIVEN MAGNETICO 45X15 mm BLANCO CL.3110;Uni
15579;TUBO DE COMBUSTIBLE PARA LAMP COLEMAN 214-5231              ;Uni
15597;"TUERCA BRONCE COMPRESION 5/16"" 61-5                         ";Uni
15598;"TUERCA BRONCE COMPRESION 3/8"" 61-6                          ";Uni
15599;"TUERCA BRONCE COMPRESION 1/2"" 61-8                          ";Uni
15474;"TUBO PVC 100 PSI 8"" (203.2 mm x 6 m)";Uni
15487;"TUBO PVC 250 PSI 2"" (50.8 mm x 6 m)";Uni
15488;"TUBO PVC 250 PSI 2.1/2"" (63.5 mm x 6 m)";Uni
15489;"TUBO PVC 250 PSI 3"" (76.2 mm x 6 m)";Uni
15533;"TUBO CPVC DE 1/2"" (12.70 mm x 6 m)";Uni
15534;"TUBO CPVC DE 3/4"" (19.05 mm x 6 m)";Uni
15585;"TUERCA HEXAGONAL ROSCA FINA 1/2""(12.70 mm)";Uni
15587;"TUERCA HEXAGONAL ROSCA FINA 5/8""(15.87 mm)";Uni
15588;"TUERCA HEXAGONAL ROSCA FINA 3/4""(19.05 mm) ";Uni
15603;"TUERCA BRONCE FLARE 5/16"" 41S-5                             ";Uni
15604;"TUERCA BRONCE FLARE 3/8"" 41S-6                              ";Uni
15605;"TUERCA BRONCE FLARE 1/2"" 41S-8                              ";Uni
15606;"TUERCA BRONCE FLARE 5/8"" 41S-10                             ";Uni
15629;"TUERCA HEXAGONAL ROSCA ORD 7/16""(11.11 mm)";Uni
15630;"TUERCA HEXAGONAL ROSCA ORD 1/2""(12.70 mm)";Uni
15632;"TUERCA HEXAGONAL ROSCA ORD 5/8""(15.87 mm)";Uni
15608;"TUERCA CONDUIT 1/2"" (12.70 mm)";Uni
15612;"TUERCA CONDUIT 2"" (50.8 mm) ";Uni
15613;"TUERCA CONDUIT 3"" (7.62 cm) ";Uni
15644;"TUERCA HEXAGONAL ROSCA ORD INOX 1/2""(12.70 mm) C/NYLON ";Uni
